dow,hr,min,stage,No.of waiting,Reason,Serviece time
4,12,29,2,23,0,522.1
1,9,23,2,40,1,652
2,0,28,2,12,3,260.4
6,22,14,4,4,3,30.8
4,0,6,2,21,1,378
0,16,21,4,9,0,65.7
4,12,7,3,12,3,126
6,21,58,2,27,3,602.1
4,9,30,3,46,3,441.6
2,0,21,3,14,1,119
4,11,17,3,8,0,66.4
2,21,42,4,25,2,157.5
2,20,12,2,47,1,1090.4
4,18,13,2,41,3,619.1
0,16,48,2,36,1,846
3,21,21,2,6,2,121.2
4,0,50,3,49,3,416.5
2,0,37,4,44,1,431.2
3,21,49,4,16,1,116.8
3,11,30,2,9,0,154.8
1,22,56,4,2,1,20
5,0,6,2,11,1,269.5
0,16,21,4,13,1,126.1
3,0,8,4,28,2,154
6,14,13,3,14,3,121.8
4,12,32,2,30,3,711
3,21,17,3,28,0,238
0,9,56,4,39,0,195
4,0,23,2,15,1,306
3,12,11,4,8,1,74.4
1,0,39,2,39,1,928.2
4,0,4,4,18,2,90
6,12,56,2,47,3,789.6
4,11,47,3,21,2,174.3
6,17,32,4,44,1,409.2
2,19,51,4,42,3,281.4
2,0,49,2,48,1,1012.8
6,14,20,2,26,0,392.6
0,0,31,4,24,3,144
4,18,12,2,25,0,592.5
5,21,13,2,48,1,796.8
4,21,46,2,1,3,20.4
0,17,30,3,7,0,68.6
6,0,10,2,5,0,97.5
6,10,22,2,46,1,736
4,9,18,2,16,3,382.4
1,22,22,2,31,3,558
4,19,54,3,0,2,0
4,0,31,3,13,0,127.4
5,0,41,2,22,0,382.8
0,17,56,2,14,2,292.6
2,9,0,3,44,3,413.6
2,19,15,2,11,1,165
6,21,0,3,42,0,466.2
2,11,12,3,20,2,216
2,21,38,3,34,0,401.2
4,0,42,4,35,3,220.5
4,21,22,2,34,3,591.6
5,22,27,2,14,3,260.4
4,19,20,2,38,0,665
0,0,57,2,38,1,653.6
3,9,33,3,34,2,401.2
0,14,1,3,13,0,135.2
6,20,23,3,21,3,231
3,22,37,4,14,3,109.2
6,10,11,3,43,1,378.4
6,0,22,2,46,3,933.8
1,0,45,3,45,2,504
6,0,44,2,4,0,88.8
5,21,56,2,45,2,877.5
4,0,49,3,35,2,332.5
0,20,56,3,7,2,78.4
4,0,10,3,33,0,359.7
2,21,22,3,30,2,339
4,0,35,4,6,0,58.2
5,10,36,2,1,1,15.4
0,21,4,2,26,0,538.2
1,9,45,2,35,3,847
1,18,48,4,14,1,130.2
2,21,4,2,8,2,168.8
6,22,15,2,30,1,678
1,11,32,3,23,1,243.8
4,22,31,2,18,1,397.8
3,22,31,3,18,0,214.2
5,18,58,2,20,2,488
1,0,54,4,20,1,114
5,19,48,2,32,3,560
3,11,53,2,1,1,19
3,10,12,3,30,3,264
5,22,14,4,0,0,0
1,18,50,2,9,0,169.2
1,0,26,2,19,3,456
3,19,33,2,44,2,1060.4
5,19,55,2,21,0,365.4
3,0,45,2,3,0,61.5
3,22,11,3,18,1,176.4
1,11,47,3,41,3,410
3,0,0,2,9,2,162.9
4,9,52,3,29,2,313.2
2,18,58,3,41,0,434.6
0,14,9,4,42,1,315
2,0,1,4,36,0,180
1,0,2,3,1,2,10.5
4,0,4,4,43,0,339.7
3,20,43,2,43,2,791.2
3,0,4,2,27,2,615.6
0,0,24,2,34,1,714
3,22,3,2,44,1,726
2,22,17,3,9,1,83.7
5,20,23,3,38,2,307.8
2,0,4,2,12,1,252
2,22,50,2,30,0,471
6,19,47,4,6,2,50.4
3,12,52,3,29,3,313.2
1,19,55,3,46,3,547.4
2,0,18,2,22,0,382.8
6,0,31,3,25,1,202.5
0,0,6,2,22,0,354.2
6,21,29,3,44,3,448.8
0,22,31,2,29,3,620.6
0,0,38,3,31,1,322.4
0,12,52,2,15,0,264
4,0,26,3,32,1,339.2
6,16,21,4,3,2,28.8
2,0,36,4,31,1,272.8
1,21,25,3,22,3,226.6
0,17,13,2,2,2,42
3,0,0,3,27,2,243
2,22,51,4,3,1,27.9
0,22,12,2,27,2,456.3
6,18,4,3,47,0,404.2
3,11,58,4,32,0,220.8
1,20,55,2,47,1,789.6
1,20,19,3,9,2,88.2
5,0,22,3,47,2,385.4
0,22,9,4,31,2,189.1
6,22,22,3,41,0,487.9
2,0,9,2,24,0,573.6
1,12,6,2,17,2,408
1,11,26,4,28,0,168
2,9,0,4,1,3,8
4,19,41,3,11,3,90.2
1,0,15,3,27,3,245.7
6,17,45,3,18,2,165.6
3,0,39,2,14,1,257.6
0,11,15,2,48,3,1036.8
3,21,37,3,31,0,291.4
4,19,0,2,20,0,446
4,21,22,2,6,3,103.2
2,11,56,2,32,2,748.8
6,0,56,2,18,0,331.2
0,14,53,2,1,3,19.9
5,0,25,4,2,1,14.2
2,22,24,2,18,1,342
0,21,35,3,42,2,344.4
4,12,22,3,17,2,202.3
6,12,10,4,44,2,409.2
4,18,24,3,18,3,216
0,14,3,4,31,1,186
6,19,44,3,36,2,295.2
2,18,49,2,47,2,878.9
4,0,41,3,5,2,51
2,10,48,3,30,3,294
5,20,0,4,42,0,323.4
3,0,40,4,38,1,269.8
6,15,2,2,42,1,680.4
3,21,20,2,0,1,0
1,0,5,3,9,3,96.3
6,11,4,2,40,1,728
5,20,10,2,47,0,991.7
0,0,57,3,34,2,326.4
5,0,49,2,27,2,491.4
4,0,16,2,13,3,273
0,11,2,3,35,3,304.5
5,0,4,2,47,3,949.4
5,0,10,3,49,0,499.8
6,20,46,2,3,1,62.7
4,19,47,2,20,3,324
2,0,45,3,7,2,72.8
5,18,26,3,2,0,21.8
4,0,27,4,2,0,12.2
3,0,34,3,8,3,80.8
4,0,54,2,26,0,436.8
6,16,54,4,28,3,179.2
1,0,1,4,18,0,91.8
5,0,2,3,46,1,437
5,21,44,2,0,2,0
2,19,36,2,42,2,667.8
3,18,25,4,21,2,140.7
6,21,38,3,2,0,17.8
3,0,4,2,44,1,932.8
6,0,34,2,32,2,768
1,11,52,3,36,3,374.4
5,9,42,3,32,3,310.4
3,20,22,2,10,2,248
4,19,22,3,4,3,34
6,11,18,4,6,1,56.4
0,16,8,2,6,0,127.2
4,0,42,4,42,0,277.2
4,9,6,2,49,2,735
5,10,24,4,45,2,418.5
2,20,26,2,31,1,740.9
0,0,34,2,16,1,376
2,19,40,3,44,0,396
2,10,16,2,26,0,397.8
4,0,55,2,34,2,754.8
0,12,38,2,44,3,972.4
4,20,39,3,44,3,391.6
0,0,31,2,12,3,256.8
3,18,42,2,12,0,210
1,18,55,2,0,2,0
6,0,39,3,7,0,76.3
0,9,29,3,4,2,47.6
5,19,22,2,26,3,579.8
3,18,0,3,28,1,285.6
0,22,50,4,33,1,188.1
2,0,43,2,13,0,218.4
0,20,31,3,36,0,291.6
0,16,43,2,41,1,840.5
5,0,11,2,46,0,805
3,9,56,2,37,3,555
4,18,57,2,30,1,498
1,0,39,3,9,3,75.6
5,11,6,2,28,0,422.8
5,19,30,2,35,0,570.5
5,10,9,3,36,1,331.2
4,21,34,2,7,2,171.5
3,11,50,2,43,3,1023.4
3,9,18,3,31,1,368.9
4,0,11,4,41,2,381.3
3,9,15,2,0,1,0
4,9,52,3,4,2,34.8
3,18,58,3,28,0,274.4
6,10,46,4,3,0,25.5
3,0,51,2,39,0,811.2
6,19,30,2,38,1,665
4,21,47,4,35,0,276.5
0,14,3,4,10,3,76
1,0,33,3,43,1,507.4
1,19,21,4,44,1,286
0,12,9,3,19,2,167.2
2,0,31,2,5,0,99.5
2,0,13,4,28,3,215.6
2,11,47,4,14,2,71.4
4,0,33,3,41,2,467.4
3,0,6,2,18,0,399.6
1,12,25,2,2,0,44
6,21,15,2,11,0,239.8
3,20,0,2,11,0,211.2
2,18,5,3,30,0,297
5,19,35,3,5,1,59.5
5,0,33,2,8,3,169.6
0,0,43,2,19,0,328.7
1,22,12,4,4,1,22
1,19,25,3,19,3,218.5
2,0,54,3,32,2,323.2
2,18,23,4,25,2,135
6,12,15,3,21,0,212.1
6,21,30,4,17,3,159.8
5,0,28,4,32,2,304
2,12,54,2,1,2,21.4
0,18,58,2,23,1,526.7
0,10,45,3,2,1,20
6,15,26,2,19,0,467.4
4,18,50,2,32,1,659.2
5,21,12,2,36,3,867.6
3,19,38,2,14,2,224
5,22,29,2,43,1,649.3
2,21,49,2,48,1,1099.2
1,10,34,4,38,3,201.4
6,11,8,3,43,2,511.7
4,21,44,2,29,2,481.4
1,18,44,2,5,0,81
0,0,20,2,47,1,1071.6
4,19,26,2,48,0,912
5,22,44,3,9,3,92.7
3,18,29,3,38,2,357.2
1,19,20,2,33,0,709.5
0,0,4,4,35,0,346.5
3,19,43,4,22,3,147.4
3,0,35,4,11,0,73.7
3,0,40,4,36,2,349.2
2,0,34,2,10,3,211
2,21,54,2,48,1,806.4
3,18,46,2,44,3,818.4
0,22,4,3,9,0,96.3
2,12,57,3,44,3,365.2
2,18,58,2,2,1,47.2
1,0,20,4,8,2,50.4
0,19,11,2,10,1,236
2,20,37,4,45,1,364.5
0,0,0,3,25,0,252.5
4,19,52,2,19,2,328.7
3,22,24,2,21,1,361.2
2,22,58,2,26,0,444.6
1,22,21,3,45,0,373.5
2,0,0,2,4,0,81.6
1,0,38,2,22,1,365.2
2,22,22,3,15,0,135
3,0,7,2,12,1,234
1,19,31,2,32,0,768
6,16,46,2,24,3,489.6
0,12,5,4,20,0,166
4,18,29,3,49,1,406.7
1,21,4,3,43,1,391.3
5,21,12,3,15,2,180
2,0,16,2,47,2,1137.4
0,21,34,4,6,2,36.6
1,0,30,2,43,3,761.1
1,0,46,2,20,3,322
2,22,57,3,15,2,175.5
0,21,21,2,6,3,147.6
1,18,20,3,29,3,252.3
3,0,7,4,19,0,167.2
3,0,50,2,49,3,1082.9
5,20,32,3,7,3,60.9
3,18,39,3,12,0,134.4
2,0,43,2,1,1,24.9
1,0,30,4,12,3,66
6,12,7,3,1,0,9.4
3,12,32,3,18,1,214.2
6,16,33,3,17,2,204
4,19,29,2,3,3,64.2
3,0,24,2,45,3,967.5
6,19,19,2,7,3,172.9
1,21,45,3,2,2,20
1,0,15,2,15,0,310.5
2,20,50,3,30,2,243
4,9,40,3,33,3,303.6
0,17,50,3,1,3,10.7
6,17,16,4,46,1,418.6
1,20,54,2,11,3,203.5
0,14,17,2,32,2,739.2
0,0,41,3,48,3,422.4
6,0,23,2,4,3,92.4
5,0,9,2,0,0,0
3,0,13,4,5,0,31
2,18,2,2,33,0,788.7
4,21,12,3,14,2,141.4
1,0,20,2,46,2,1113.2
4,22,6,2,16,3,384
6,0,18,2,34,1,567.8
6,0,58,2,43,3,881.5
0,15,22,2,12,0,282
3,20,27,3,31,0,328.6
5,0,41,2,16,0,251.2
2,0,40,3,15,0,171
6,21,26,3,44,2,492.8
5,0,32,4,32,3,272
2,18,1,2,1,0,23.4
1,22,16,2,22,2,536.8
3,0,58,2,36,0,558
3,0,2,4,42,3,260.4
0,15,46,3,24,3,240
5,12,36,2,14,3,298.2
6,16,34,2,18,1,277.2
3,19,46,4,42,3,289.8
6,22,33,2,10,3,236
6,0,14,2,15,1,327
5,22,58,4,1,2,6.1
0,11,37,3,12,1,114
4,22,27,2,11,0,207.9
4,19,18,2,12,2,181.2
4,21,32,4,40,1,296
4,0,51,2,20,0,356
1,0,25,3,3,3,32.1
6,10,28,2,8,3,167.2
1,0,3,3,6,2,65.4
1,0,56,3,11,2,126.5
6,0,35,2,11,0,173.8
4,20,54,2,31,3,620
4,0,0,3,11,1,117.7
2,22,36,3,4,0,37.2
0,17,20,2,2,0,47.6
6,20,45,2,7,3,148.4
1,18,33,4,38,2,319.2
5,0,1,2,36,0,860.4
4,19,34,4,28,3,196
3,11,51,2,48,3,897.6
3,20,47,3,1,3,11.2
3,19,56,2,36,1,723.6
2,22,52,2,48,3,1046.4
0,18,15,2,37,0,651.2
3,0,20,3,10,3,101
3,19,27,3,39,3,432.9
0,12,0,3,21,3,199.5
0,0,14,3,17,0,202.3
4,0,7,3,5,3,52.5
0,0,1,3,7,0,58.1
0,0,53,3,3,1,35.7
4,20,17,4,22,3,165
4,18,33,3,16,3,152
4,21,12,2,0,2,0
6,11,48,2,29,3,582.9
1,20,24,2,33,3,798.6
5,12,47,4,2,1,17
2,22,48,3,4,2,34.8
0,18,45,2,25,1,577.5
0,17,40,2,41,2,906.1
0,14,10,2,45,3,886.5
6,22,3,3,26,3,221
0,20,53,3,23,1,213.9
0,17,11,2,14,0,301
0,11,3,2,42,1,1012.2
6,10,4,3,7,3,65.1
5,0,52,2,34,3,839.8
0,17,57,2,30,1,543
4,18,30,3,22,1,178.2
1,22,11,3,38,3,315.4
1,0,33,2,34,3,680
2,20,48,3,16,2,168
5,19,45,2,40,2,768
5,19,7,3,34,1,374
1,0,24,2,2,1,46.6
2,9,0,2,38,2,817
0,20,11,2,37,2,869.5
0,11,47,3,16,0,174.4
4,19,8,3,41,0,434.6
6,0,29,4,18,0,151.2
0,0,43,4,44,2,277.2
4,20,29,2,36,1,597.6
2,12,14,2,6,2,132.6
1,22,42,3,35,3,325.5
3,21,24,3,46,3,478.4
6,10,22,2,47,2,930.6
3,0,52,2,30,3,615
4,18,31,4,7,1,46.9
1,20,12,2,14,0,225.4
5,19,3,2,40,3,656
6,18,7,2,0,0,0
3,12,10,2,8,1,163.2
1,0,41,4,39,0,210.6
2,12,32,2,5,0,92
5,19,11,2,5,3,82.5
6,19,13,2,39,3,842.4
0,21,10,2,32,2,576
6,14,48,3,39,3,358.8
1,22,0,3,16,2,134.4
5,9,45,3,0,0,0
0,11,32,4,25,3,205
2,21,53,3,30,2,297
5,19,21,2,16,0,364.8
6,16,20,3,36,2,302.4
1,20,55,2,13,1,196.3
1,0,10,4,32,3,160
3,19,32,4,9,1,83.7
1,20,58,4,13,0,70.2
5,19,44,4,33,3,257.4
3,18,31,3,38,3,399
6,0,17,2,41,1,733.9
1,18,17,2,43,3,752.5
2,20,29,3,1,3,9.9
0,0,32,2,42,1,852.6
4,18,6,2,11,2,228.8
1,21,30,2,1,3,15.3
5,0,56,2,47,2,954.1
2,20,39,3,44,0,470.8
4,19,48,2,27,0,672.3
4,22,0,3,8,3,76
5,0,37,4,29,2,275.5
0,0,3,4,28,0,184.8
1,10,56,3,23,3,195.5
2,18,32,2,26,0,546
1,18,1,3,24,2,247.2
0,10,41,2,46,2,933.8
5,22,34,2,39,1,936
3,0,17,4,0,0,0
3,0,18,4,17,1,151.3
4,20,56,2,38,3,817
2,21,31,2,11,1,188.1
6,17,48,2,15,0,258
2,0,24,2,25,1,545
5,21,10,2,4,0,70.4
1,11,48,2,49,0,896.7
1,21,19,3,37,2,403.3
4,20,36,2,42,0,1029
5,21,36,3,47,3,493.5
6,16,4,4,43,3,275.2
0,0,12,2,1,3,21.2
3,11,57,2,14,1,288.4
6,0,34,2,31,0,657.2
3,0,44,2,27,2,637.2
0,0,10,4,19,1,174.8
2,0,37,2,28,3,613.2
3,22,4,2,39,3,928.2
5,11,20,2,46,0,800.4
3,21,30,2,11,2,246.4
0,11,22,2,15,2,336
4,0,10,3,13,0,135.2
3,22,49,2,14,1,253.4
3,19,0,3,15,1,139.5
6,0,52,4,5,0,29.5
6,15,13,2,7,2,154.7
5,0,4,4,24,1,225.6
0,0,9,2,38,3,912
2,10,54,3,49,3,543.9
4,20,33,3,17,1,154.7
3,22,36,3,30,1,351
3,9,55,2,21,1,420
6,0,15,2,26,3,579.8
0,14,22,2,38,0,737.2
4,22,37,2,19,1,408.5
2,0,30,4,33,3,201.3
4,22,56,3,21,1,243.6
5,0,11,3,8,1,78.4
2,18,14,4,41,1,270.6
2,0,58,3,0,2,0
2,10,55,2,43,2,653.6
3,20,49,2,37,3,566.1
0,0,20,4,16,2,110.4
6,15,58,3,30,1,321
3,20,6,4,34,2,221
0,9,16,3,32,1,352
0,22,48,4,23,0,142.6
3,9,7,4,16,1,100.8
3,20,7,2,23,0,517.5
0,0,5,4,8,0,70.4
4,0,15,3,12,3,129.6
1,21,57,2,12,1,285.6
2,11,39,2,19,3,364.8
2,22,14,3,35,1,357
4,10,6,2,19,1,330.6
1,11,17,4,37,3,244.2
0,0,6,4,41,0,307.5
2,20,47,2,37,2,706.7
0,0,36,4,5,3,46
5,11,34,4,46,2,322
6,12,38,2,48,1,753.6
1,0,38,3,10,0,115
1,0,21,2,11,3,204.6
6,11,23,2,40,2,848
2,0,28,3,3,2,35.7
4,20,19,2,0,3,0
1,21,15,2,8,0,149.6
2,10,14,2,1,2,19.1
5,21,46,2,4,0,86.8
1,20,54,2,41,3,975.8
4,9,56,2,6,3,136.2
0,20,8,3,2,1,23
0,0,58,4,46,2,239.2
5,0,56,3,43,0,387
5,12,55,3,6,2,50.4
2,0,34,3,21,2,224.7
5,0,48,2,40,0,732
6,10,12,3,39,1,343.2
3,0,41,2,17,3,329.8
0,21,53,2,47,0,949.4
0,9,44,2,8,0,147.2
5,0,31,3,1,3,10.9
6,16,33,3,39,3,343.2
3,0,41,2,21,2,401.1
4,21,37,2,48,2,902.4
0,20,43,3,6,1,53.4
1,22,2,4,26,0,184.6
5,18,56,2,17,0,326.4
5,10,53,4,16,0,139.2
5,19,5,3,1,2,10.3
0,15,46,3,38,0,368.6
2,19,34,3,21,2,180.6
3,20,50,2,47,0,1165.6
2,21,22,4,5,1,35.5
2,18,44,3,44,0,356.4
3,0,34,4,47,0,282
4,10,12,4,14,3,137.2
2,12,54,2,12,1,205.2
5,19,28,4,20,0,114
5,18,52,4,0,2,0
5,18,12,2,32,3,579.2
4,18,18,2,35,2,546
5,18,29,2,31,0,756.4
5,21,31,4,9,3,47.7
6,11,41,3,35,3,409.5
4,22,9,2,43,2,679.4
4,22,27,2,39,0,912.6
2,12,45,3,9,2,107.1
5,9,26,2,15,3,361.5
3,18,50,2,43,0,799.8
1,22,30,4,49,3,269.5
4,18,44,2,5,0,105
6,15,27,3,46,2,455.4
5,20,49,2,44,0,858
1,9,19,2,10,3,153
5,20,20,2,28,2,487.2
1,0,8,2,7,3,154
1,21,42,4,24,1,151.2
2,0,15,3,11,2,107.8
5,19,36,3,8,2,73.6
2,20,2,2,32,1,608
3,21,7,2,16,0,252.8
3,18,50,2,34,1,567.8
2,0,10,3,44,0,418
5,18,6,2,49,0,945.7
6,15,43,2,1,1,24.2
5,21,49,4,41,3,393.6
1,22,46,2,34,0,554.2
0,20,8,2,49,2,808.5
4,22,55,3,17,3,175.1
2,20,57,3,15,2,124.5
2,12,35,2,7,2,130.2
1,0,33,2,39,2,850.2
4,0,26,3,16,0,168
0,18,40,2,42,1,764.4
0,0,35,4,41,3,319.8
3,11,1,2,11,1,193.6
1,18,42,2,1,0,22.9
3,0,20,4,41,2,233.7
2,0,41,3,6,1,60
0,20,2,3,16,1,187.2
3,21,32,2,37,0,732.6
6,0,48,2,10,2,241
5,11,51,4,25,2,240
6,20,46,2,8,1,137.6
4,21,16,3,20,3,168
0,10,57,2,24,3,499.2
4,0,54,4,25,3,192.5
5,22,0,4,1,3,5.5
0,10,5,3,0,2,0
1,20,10,3,28,3,254.8
0,18,14,2,3,3,61.8
1,19,52,3,46,3,524.4
1,9,17,2,36,1,630
2,0,38,2,46,2,1048.8
6,14,35,3,25,0,237.5
5,20,41,2,30,1,639
0,21,48,3,41,2,434.6
2,21,11,4,19,0,142.5
5,20,10,2,44,1,888.8
2,0,38,3,43,0,374.1
4,20,22,3,26,2,288.6
1,10,27,3,42,2,466.2
3,0,53,2,46,3,786.6
3,0,7,2,26,2,642.2
5,20,40,2,34,2,544
3,12,32,2,45,2,891
4,20,26,2,46,2,694.6
5,21,34,2,44,1,690.8
6,15,44,3,13,0,106.6
2,0,46,2,27,0,637.2
1,11,44,2,45,3,1030.5
0,15,37,2,24,3,451.2
6,20,55,2,21,2,436.8
3,12,17,2,33,1,600.6
4,11,15,3,30,0,264
1,22,38,2,11,0,217.8
0,16,58,2,24,3,525.6
2,19,18,2,27,0,585.9
0,19,31,3,29,0,237.8
2,20,20,4,2,3,16.8
2,21,38,3,41,2,471.5
4,21,53,3,41,1,405.9
0,17,45,3,20,3,212
4,10,23,4,11,0,91.3
1,9,1,4,42,3,273
5,0,50,2,30,2,651
4,0,51,4,23,0,138
3,0,28,4,29,2,261
0,9,29,3,42,3,457.8
6,0,10,2,13,3,206.7
5,19,45,2,4,0,81.6
5,19,33,2,49,0,1195.6
3,0,42,3,24,0,204
0,18,44,2,3,0,62.1
3,21,14,3,22,3,235.4
0,20,39,2,2,2,47.8
6,19,0,2,26,1,527.8
4,19,34,2,28,0,590.8
2,0,20,4,8,3,42.4
2,0,25,3,32,3,281.6
6,0,55,2,39,1,604.5
1,0,19,2,24,0,518.4
0,12,47,2,37,3,728.9
6,21,32,2,44,0,897.6
2,19,20,3,13,3,119.6
3,11,4,3,3,0,31.8
6,15,3,3,48,0,408
3,0,57,2,25,0,412.5
4,12,11,3,33,2,346.5
5,19,20,3,25,1,292.5
5,10,25,2,31,2,682
2,22,7,2,35,1,721
4,19,8,2,15,1,322.5
3,11,30,3,30,1,285
4,9,20,2,19,2,302.1
6,0,22,2,29,2,640.9
2,12,37,4,10,0,58
4,20,1,3,15,0,171
6,15,45,3,44,0,466.4
2,21,30,3,23,0,232.3
1,0,58,3,30,2,351
6,12,48,2,16,1,350.4
3,0,11,2,20,2,434
2,0,25,2,14,2,270.2
5,19,8,2,28,2,554.4
1,20,27,2,26,1,444.6
5,11,56,2,17,1,328.1
3,10,56,3,32,2,380.8
5,0,45,2,3,2,49.2
5,21,11,3,36,0,367.2
2,22,28,3,24,1,264
1,18,33,3,31,2,272.8
6,21,50,2,41,1,832.3
6,19,21,2,48,3,1060.8
2,0,38,2,26,1,390
3,0,31,3,0,1,0
4,0,45,2,11,1,229.9
2,19,45,2,38,0,786.6
6,0,52,2,15,3,337.5
1,20,3,4,5,0,29
2,0,43,2,45,2,1102.5
6,14,43,2,8,0,160
5,0,22,2,39,0,947.7
2,18,20,2,37,0,558.7
1,0,37,2,10,1,175
4,0,30,2,0,0,0
0,12,10,4,2,2,12.6
3,19,25,4,26,1,184.6
1,10,0,3,29,2,298.7
0,0,18,2,5,0,120.5
3,20,57,2,4,0,83.2
